<<<<<<< HEAD
cgpa,tenth,twelfth,aptitude,programming,communication,projects,internship,backlogs,certifications,placed
8.9,95,93,90,88,85,4,Yes,0,5,1
8.5,91,89,84,82,80,3,Yes,0,4,1
7.2,80,78,70,68,72,2,No,2,1,0
9.1,96,95,94,93,90,5,Yes,0,6,1
6.8,75,74,65,60,68,1,No,3,0,0
8.0,88,86,82,80,78,3,Yes,0,3,1
7.5,84,82,75,74,76,2,No,1,2,0
8.7,92,90,88,86,87,4,Yes,0,5,1
6.9,77,75,68,65,70,1,No,2,1,0
9.0,97,95,96,95,94,5,Yes,0,7,1
7.8,85,84,79,77,80,2,Yes,1,3,1
6.5,72,70,60,58,65,1,No,4,0,0
8.3,89,88,85,84,83,3,Yes,0,4,1
7.1,79,77,72,70,71,2,No,2,1,0
8.8,94,92,91,90,89,4,Yes,0,5,1
6.7,74,73,64,62,66,1,No,3,0,0
8.2,90,88,84,83,82,3,Yes,0,3,1
7.3,81,80,73,72,74,2,No,2,2,0
9.2,98,97,97,96,95,5,Yes,0,8,1
6.6,73,71,62,60,64,1,No,4,0,0
8.6,93,91,89,87,86,4,Yes,0,5,1
7.4,83,81,74,73,75,2,No,1,2,0
8.1,87,86,83,81,80,3,Yes,0,4,1
6.4,70,69,58,56,60,1,No,5,0,0
9.3,99,98,98,97,96,5,Yes,0,9,1
7.6,84,83,76,75,77,2,Yes,1,3,1
6.9,76,74,67,66,69,1,No,2,1,0
8.4,90,89,86,85,84,3,Yes,0,4,1
7.0,78,76,69,68,70,2,No,2,1,0
9.1,96,94,95,94,92,5,Yes,0,7,1
8.5,92,90,87,86,85,4,Yes,0,5,1
7.7,85,84,78,77,79,2,Yes,1,3,1
6.8,74,72,63,61,65,1,No,3,0,0
8.9,95,94,92,91,90,5,Yes,0,6,1
7.2,80,79,71,70,72,2,No,2,2,0
8.3,89,87,84,83,82,3,Yes,0,4,1
6.7,73,71,61,60,63,1,No,4,0,0
9.0,97,96,95,94,93,5,Yes,0,7,1
8.2,88,87,83,82,81,3,Yes,0,4,1
7.1,79,78,72,71,73,2,No,2,1,0
8.7,93,92,90,89,88,4,Yes,0,5,1
6.5,71,70,59,58,61,1,No,4,0,0
8.4,91,89,86,85,84,3,Yes,0,4,1
7.3,82,81,74,73,75,2,No,1,2,0
9.2,98,97,98,97,96,5,Yes,0,8,1
6.6,72,71,60,59,62,1,No,5,0,0
8.8,94,93,91,90,89,4,Yes,0,6,1
7.5,83,82,75,74,76,2,Yes,1,3,1
6.9,75,74,66,65,68,1,No,3,1,0
=======
cgpa,tenth,twelfth,aptitude,programming,communication,projects,internship,backlogs,certifications,placed
8.9,95,93,90,88,85,4,Yes,0,5,1
8.5,91,89,84,82,80,3,Yes,0,4,1
7.2,80,78,70,68,72,2,No,2,1,0
9.1,96,95,94,93,90,5,Yes,0,6,1
6.8,75,74,65,60,68,1,No,3,0,0
8.0,88,86,82,80,78,3,Yes,0,3,1
7.5,84,82,75,74,76,2,No,1,2,0
8.7,92,90,88,86,87,4,Yes,0,5,1
6.9,77,75,68,65,70,1,No,2,1,0
9.0,97,95,96,95,94,5,Yes,0,7,1
7.8,85,84,79,77,80,2,Yes,1,3,1
6.5,72,70,60,58,65,1,No,4,0,0
8.3,89,88,85,84,83,3,Yes,0,4,1
7.1,79,77,72,70,71,2,No,2,1,0
8.8,94,92,91,90,89,4,Yes,0,5,1
6.7,74,73,64,62,66,1,No,3,0,0
8.2,90,88,84,83,82,3,Yes,0,3,1
7.3,81,80,73,72,74,2,No,2,2,0
9.2,98,97,97,96,95,5,Yes,0,8,1
6.6,73,71,62,60,64,1,No,4,0,0
8.6,93,91,89,87,86,4,Yes,0,5,1
7.4,83,81,74,73,75,2,No,1,2,0
8.1,87,86,83,81,80,3,Yes,0,4,1
6.4,70,69,58,56,60,1,No,5,0,0
9.3,99,98,98,97,96,5,Yes,0,9,1
7.6,84,83,76,75,77,2,Yes,1,3,1
6.9,76,74,67,66,69,1,No,2,1,0
8.4,90,89,86,85,84,3,Yes,0,4,1
7.0,78,76,69,68,70,2,No,2,1,0
9.1,96,94,95,94,92,5,Yes,0,7,1
8.5,92,90,87,86,85,4,Yes,0,5,1
7.7,85,84,78,77,79,2,Yes,1,3,1
6.8,74,72,63,61,65,1,No,3,0,0
8.9,95,94,92,91,90,5,Yes,0,6,1
7.2,80,79,71,70,72,2,No,2,2,0
8.3,89,87,84,83,82,3,Yes,0,4,1
6.7,73,71,61,60,63,1,No,4,0,0
9.0,97,96,95,94,93,5,Yes,0,7,1
8.2,88,87,83,82,81,3,Yes,0,4,1
7.1,79,78,72,71,73,2,No,2,1,0
8.7,93,92,90,89,88,4,Yes,0,5,1
6.5,71,70,59,58,61,1,No,4,0,0
8.4,91,89,86,85,84,3,Yes,0,4,1
7.3,82,81,74,73,75,2,No,1,2,0
9.2,98,97,98,97,96,5,Yes,0,8,1
6.6,72,71,60,59,62,1,No,5,0,0
8.8,94,93,91,90,89,4,Yes,0,6,1
7.5,83,82,75,74,76,2,Yes,1,3,1
6.9,75,74,66,65,68,1,No,3,1,0
>>>>>>> 87c3a9673fbff13ae707d7f5b6a3ae3c9f7e76c5
8.1,87,86,82,81,80,3,Yes,0,4,1
